No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型
40,CH02,40,CH02-040,CH02-040,【期待の重圧】褒め言葉が動きを止める瞬間,投稿済み,,workspaces/scripts/CH02/040/content/assembled.md,,7928,2025-12-24T03:59:35.504381Z,,,,,,,褒め言葉を象徴する金色のリボンが肩に重く巻き付き、動きを止める人物。スポットライトが眩しく張り付いている。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 (forced) 2025-12-24,完了 (forced) 2025-12-24,完了 (forced) 2025-12-24,投稿済み 2025-12-24,褒め言葉が動きを止める瞬間,,,,,,,workspaces/scripts/CH02/040/content/assembled.md,,,,,,,,,,,,kata3
41,CH02,41,CH02-041,CH02-041,【同調の沼】同じ意見ばかり聞くと判断が鈍る,投稿済み,,workspaces/scripts/CH02/041/content/assembled.md,,7183,2025-12-24T03:59:38.724212Z,,,,,,,鏡の迷路の中で同じ形の吹き出しが何重にも反射し、中央の人物の表情が曇る。単調な色合いの閉塞感。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 (forced) 2025-12-24,完了 (forced) 2025-12-24,完了 (forced) 2025-12-24,投稿済み 2025-12-24,同じ意見ばかり聞くと判断が鈍る,,,,,,,workspaces/scripts/CH02/041/content/assembled.md,,,,,,,,,,,,kata3
42,CH02,42,CH02-042,CH02-042,【淀む空気】停滞感が教える心の飽和,投稿済み,,workspaces/scripts/CH02/042/content/assembled.md,,7892,2026-01-22T04:43:32.096701Z,,,,,,,換気されない部屋に灰色の空気がたまり、浮遊する埃が細い光に照らされている。窓は固く閉ざされ重たい雰囲気。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,済,完了 (forced) 2026-01-22,完了 (forced) 2026-01-22,完了 (forced) 2026-01-22,投稿済み 2026-01-22,停滞感が教える心の飽和,,,,,,,workspaces/scripts/CH02/042/content/assembled.md,,,,,,,淀む空気,,,,,kata2
43,CH02,43,CH02-043,CH02-043,【視線の逃避】スマホから目を上げられない理由,script_completed,,workspaces/scripts/CH02/043/content/assembled.md,,7802,,,,,,,,暗い部屋でスマホの光だけが顔を照らし、人物の視線が画面に吸い込まれている。背後はぼやけた現実。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,スマホから目を上げられない理由,,,,,,,workspaces/scripts/CH02/043/content/assembled.md,,,,,,,視線の逃避,,,,,kata2
44,CH02,44,CH02-044,CH02-044,【夜の反芻】同じ考えが止まらない脳,script_completed,,workspaces/scripts/CH02/044/content/assembled.md,,7865,,,,,,,,夜のベッドで同じ思考が帯状に循環し頭上を回る。人物は目を開け天井を見つめ、不眠の光景。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,同じ考えが止まらない脳,,,,,,,workspaces/scripts/CH02/044/content/assembled.md,,,,,,,夜の反芻,,,,,kata2
45,CH02,45,CH02-045,CH02-045,【無意識の摂取】情報を食べ続ける理由,script_completed,,workspaces/scripts/CH02/045/content/assembled.md,,8564,,,,,,,,情報を食べるようにノイズ混じりの紙片や画面を口に運ぶ人物。胃の中にアイコンの光が溢れる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,情報を食べ続ける理由,,,,,,,workspaces/scripts/CH02/045/content/assembled.md,,,,,,,無意識の摂取,,,,,kata2
46,CH02,46,CH02-046,CH02-046,【作り笑いの疲労】顔がこわばる心理,script_completed,,workspaces/scripts/CH02/046/content/assembled.md,,8132,,,,,,,,笑顔の仮面がひび割れ、内側の疲れた表情が透けて見える。背景に無数の社交的な顔のポスター。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,顔がこわばる心理,,,,,,,workspaces/scripts/CH02/046/content/assembled.md,,,,,,,作り笑いの疲労,,,,,kata3
47,CH02,47,CH02-047,CH02-047,【失敗リプレイ】眠れないほど後悔を巻き戻す脳,script_completed,,workspaces/scripts/CH02/047/content/assembled.md,,7947,,,,,,,,フィルムリールが頭の中で巻き戻り、同じ失敗シーンが繰り返し映写される。暗いシアターに座る一人の人物。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,眠れないほど後悔を巻き戻す脳,,,,,,,workspaces/scripts/CH02/047/content/assembled.md,,,,,,,失敗リプレイ,,,,,kata1
48,CH02,48,CH02-048,CH02-048,【分裂する一日】朝の理想と夜の現実がずれる理由,script_completed,,workspaces/scripts/CH02/048/content/assembled.md,,7823,,,,,,,,画面の左は朝日と整ったノート、右は夜の散らかったデスク。中央の人物が分断され、表情も左右で異なる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,朝の理想と夜の現実がずれる理由,,,,,,,workspaces/scripts/CH02/048/content/assembled.md,,,,,,,分裂する一日,,,,,kata3
49,CH02,49,CH02-049,CH02-049,【計画の罠】考えすぎて動けなくなる脳,script_completed,,workspaces/scripts/CH02/049/content/assembled.md,,7564,,,,,,,,壁一面の付箋と計画図が迷路のように張り巡らされ、人物が進めず立ち尽くす。上から光が差すが道は見えない。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,考えすぎて動けなくなる脳,,,,,,,workspaces/scripts/CH02/049/content/assembled.md,,,,,,,計画の罠,,,,,kata1
50,CH02,50,CH02-050,CH02-050,【他人基準の牢】期待に生きると枯れる理由,script_completed,,workspaces/scripts/CH02/050/content/assembled.md,,7532,,,,,,,,他人の期待を示す吹き出しが鉄の格子になり、人物を囲む牢。外には自由な空が広がる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,期待に生きると枯れる理由,,,,,,,workspaces/scripts/CH02/050/content/assembled.md,,,,,,,他人基準の牢,,,,,kata1
51,CH02,51,CH02-051,CH02-051,【微細な不安】雑音のような心配が消えない仕組み,script_completed,,workspaces/scripts/CH02/051/content/assembled.md,,8887,,,,,,,,小さなざわめきが砂嵐のようなノイズ雲となり頭の上に積もる。人物は耳を押さえ俯いている。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,雑音のような心配が消えない仕組み,,,,,,,workspaces/scripts/CH02/051/content/assembled.md,,,,,,,微細な不安,,,,,kata2
52,CH02,52,CH02-052,CH02-052,【沈黙の防衛】意見を言えないとき脳で何が起きているか,script_completed,,workspaces/scripts/CH02/052/content/assembled.md,,9560,,,,,,,,折りたたまれた紙の鍵が口元を封じ、言葉が出ない。飲み込まれた意見の影が会議室の壁に浮かぶ。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,意見を言えないとき脳で何が起きているか,,,,,,,workspaces/scripts/CH02/052/content/assembled.md,,,,,,,沈黙の防衛,,,,,kata1
53,CH02,53,CH02-053,CH02-053,【選択疲れ】多すぎる選択肢が意志を溶かす,script_completed,,workspaces/scripts/CH02/053/content/assembled.md,,9259,,,,,,,,無数のドアと棚に選択肢がびっしり並び、色の洪水が視界を埋める。中央の人物が立ちすくむ。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,多すぎる選択肢が意志を溶かす,,,,,,,workspaces/scripts/CH02/053/content/assembled.md,,,,,,,選択疲れ,,,,,kata1
54,CH02,54,CH02-054,CH02-054,【比較中毒】成功報告に脳が支配される理由,script_completed,,workspaces/scripts/CH02/054/content/assembled.md,,7903,,,,,,,,透明なスクリーンに他人の成功メーターが重なり、人物の胸を圧迫する。数字の光が眩しく息苦しい。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,成功報告に脳が支配される理由,,,,,,,workspaces/scripts/CH02/054/content/assembled.md,,,,,,,比較中毒,,,,,kata1
55,CH02,55,CH02-055,CH02-055,【無音の恐怖】静けさに耐えられない心,script_completed,,workspaces/scripts/CH02/055/content/assembled.md,,7630,,,,,,,,静まり返った部屋で耳元に巨大な音の波形が迫り、人物が怯えている。静けさと恐怖の対比。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,静けさに耐えられない心,,,,,,,workspaces/scripts/CH02/055/content/assembled.md,,,,,,,無音の恐怖,,,,,kata3
56,CH02,56,CH02-056,CH02-056,【完璧待ち】動けない完璧主義の心理,script_completed,,workspaces/scripts/CH02/056/content/assembled.md,,7627,,,,,,,,完璧なチェックリストを前に腕を組む人物。砂時計の砂が落ち続け、足元には未完成の階段。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,動けない完璧主義の心理,,,,,,,workspaces/scripts/CH02/056/content/assembled.md,,,,,,,完璧待ち,,,,,kata2
57,CH02,57,CH02-057,CH02-057,【三日目の壁】習慣が続かない脳の癖,script_completed,,workspaces/scripts/CH02/057/content/assembled.md,,7863,,,,,,,,カレンダーの3日目だけが鎖で縛られ重く沈む。人物がそこを越えられず足を取られる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,習慣が続かない脳の癖,,,,,,,workspaces/scripts/CH02/057/content/assembled.md,,,,,,,三日目の壁,,,,,kata1
58,CH02,58,CH02-058,CH02-058,【記憶の棘】過去の失敗が夜に疼く理由,script_completed,,workspaces/scripts/CH02/058/content/assembled.md,,7806,,,,,,,,夜のベッドに横たわる人物の胸元からガラスの棘が光り、過去の失敗の影が壁に浮かぶ。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,過去の失敗が夜に疼く理由,,,,,,,workspaces/scripts/CH02/058/content/assembled.md,,,,,,,記憶の棘,,,,,kata3
59,CH02,59,CH02-059,CH02-059,【逃避の整理】重要タスク前に片付け始める心理,script_completed,,workspaces/scripts/CH02/059/content/assembled.md,,8164,,,,,,,,巨大な未完のタスクの山の手前で人物が必死に床掃除をしている。後ろに迫る締切の時計。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,重要タスク前に片付け始める心理,,,,,,,workspaces/scripts/CH02/059/content/assembled.md,,,,,,,逃避の整理,,,,,kata1
60,CH02,60,CH02-060,CH02-060,【偽りの同意】断れない人の心理,script_completed,,workspaces/scripts/CH02/060/content/assembled.md,,7854,,,,,,,,握手する手の背後に細い操り糸が結びつき、本心を縛っている。笑顔の奥に緊張が走る。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,断れない人の心理,,,,,,,workspaces/scripts/CH02/060/content/assembled.md,,,,,,,偽りの同意,,,,,kata1
61,CH02,61,CH02-061,CH02-061,【微怒り】小さな苛立ちが積もるメカニズム,script_completed,,workspaces/scripts/CH02/061/content/assembled.md,,8180,,,,,,,,小さな火花がポケットの中でくすぶり、黒い煙が少しずつ上がる。表面は穏やかながら内側で燃える。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,小さな苛立ちが積もるメカニズム,,,,,,,workspaces/scripts/CH02/061/content/assembled.md,,,,,,,微怒り,,,,,kata3
62,CH02,62,CH02-062,CH02-062,【承認の飢え】反応がないと不安になる理由,script_completed,,workspaces/scripts/CH02/062/content/assembled.md,,7883,,,,,,,,スマホを握る手の中に空洞があり、通知の光が来ないことでぽっかり穴が開いている。周囲は薄暗い。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,反応がないと不安になる理由,,,,,,,workspaces/scripts/CH02/062/content/assembled.md,,,,,,,承認の飢え,,,,,kata2
63,CH02,63,CH02-063,CH02-063,【締切前の燃焼】完成直前に折れる理由,script_completed,,workspaces/scripts/CH02/063/content/assembled.md,,7691,,,,,,,,ゴールテープ目前で脚が折れ膝をつくランナー。背後に積み重なる資料の山。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,完成直前に折れる理由,,,,,,,workspaces/scripts/CH02/063/content/assembled.md,,,,,,,締切前の燃焼,,,,,kata1
64,CH02,64,CH02-064,CH02-064,【過剰シミュレーション】考えすぎが行動を止める,script_completed,,workspaces/scripts/CH02/064/content/assembled.md,,8280,,,,,,,,チェス盤の上に半透明の無数の未来の手が重なり、動けない王。計算しすぎる思考の渦。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,考えすぎが行動を止める,,,,,,,workspaces/scripts/CH02/064/content/assembled.md,,,,,,,過剰シミュレーション,,,,,kata2
65,CH02,65,CH02-065,CH02-065,【挑戦回避】向いてないと思い込む脳,script_completed,,workspaces/scripts/CH02/065/content/assembled.md,,7888,,,,,,,,扉の前に立つ人物の頭上に向いていないという看板が重く垂れ下がる。扉の向こうは光る未知。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,向いてないと思い込む脳,,,,,,,workspaces/scripts/CH02/065/content/assembled.md,,,,,,,挑戦回避,,,,,kata1
66,CH02,66,CH02-066,CH02-066,【自分らしさの迷路】期待と流行に溺れる理由,script_completed,,workspaces/scripts/CH02/066/content/assembled.md,,7762,,,,,,,,鏡の迷路にトレンドポスターや自分らしさの標語が貼られ、人物の輪郭がぼやけていく。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,期待と流行に溺れる理由,,,,,,,workspaces/scripts/CH02/066/content/assembled.md,,,,,,,自分らしさの迷路,,,,,kata2
67,CH02,67,CH02-067,CH02-067,【初対面凍結】言葉が出なくなる防衛,script_completed,,workspaces/scripts/CH02/067/content/assembled.md,,7852,,,,,,,,初対面の場でスポットライトに照らされ、言葉が氷になって空中に浮かぶ。周囲の人影はぼんやり。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,言葉が出なくなる防衛,,,,,,,workspaces/scripts/CH02/067/content/assembled.md,,,,,,,初対面凍結,,,,,kata2
68,CH02,68,CH02-068,CH02-068,【失敗予期】挑戦前に心が萎む瞬間,script_completed,,workspaces/scripts/CH02/068/content/assembled.md,,8013,,,,,,,,飛ぶ前の紙飛行機が手の中でしぼみ、色が抜けていく。挑戦の前に心が萎む瞬間。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,挑戦前に心が萎む瞬間,,,,,,,workspaces/scripts/CH02/068/content/assembled.md,,,,,,,失敗予期,,,,,kata2
69,CH02,69,CH02-069,CH02-069,【他人の視線牢】評価に合わせる生き方,script_completed,,workspaces/scripts/CH02/069/content/assembled.md,,8014,,,,,,,,無数の目が格子になって人物を囲み、視線の牢獄を作る。中央の人物は動けず息苦しい。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,評価に合わせる生き方,,,,,,,workspaces/scripts/CH02/069/content/assembled.md,,,,,,,他人の視線牢,,,,,kata2
70,CH02,70,CH02-070,CH02-070,【夜行列車の不安】寝る前に心配が列を作る理由,script_completed,,workspaces/scripts/CH02/070/content/assembled.md,,7923,,,,,,,,ベッドの脇を光る列車が列をなして走り、車窓に心配事のアイコンが映る。眠れない夜の不安の行列。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,寝る前に心配が列を作る理由,,,,,,,workspaces/scripts/CH02/070/content/assembled.md,,,,,,,夜行列車の不安,,,,,kata1
71,CH02,71,CH02-071,CH02-071,【過積載の頭】やることが多すぎると止まる脳,script_completed,,workspaces/scripts/CH02/071/content/assembled.md,,7647,,,,,,,,頭部が荷物のように積み上がり、溢れたToDoが紙吹雪となって舞う。膝が折れそうな重さ。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,やることが多すぎると止まる脳,,,,,,,workspaces/scripts/CH02/071/content/assembled.md,,,,,,,過積載の頭,,,,,kata3
72,CH02,72,CH02-072,CH02-072,【機嫌の奴隷】他人の感情に振り回される心理,script_completed,,workspaces/scripts/CH02/072/content/assembled.md,,7903,,,,,,,,他人の表情が色の雲となり、その雲から伸びる糸が人物を操る。自分の表情は薄れていく。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,他人の感情に振り回される心理,,,,,,,workspaces/scripts/CH02/072/content/assembled.md,,,,,,,機嫌の奴隷,,,,,kata1
73,CH02,73,CH02-073,CH02-073,【成果の空白】努力が見えないときの心,script_completed,,workspaces/scripts/CH02/073/content/assembled.md,,7785,,,,,,,,進捗バーが透明で努力が水のようにこぼれ落ち、床に広がる。本人だけが必死に押し上げている。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,努力が見えないときの心,,,,,,,workspaces/scripts/CH02/073/content/assembled.md,,,,,,,成果の空白,,,,,kata1
74,CH02,74,CH02-074,CH02-074,【小さな棘】些細な失敗を手放せない理由,script_completed,,workspaces/scripts/CH02/074/content/assembled.md,,7955,,,,,,,,指先に刺さった小さな棘を巨大な虫眼鏡が照らし、周囲が暗く見えなくなる。ささいな失敗に意識が集中する。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,些細な失敗を手放せない理由,,,,,,,workspaces/scripts/CH02/074/content/assembled.md,,,,,,,小さな棘,,,,,kata3
75,CH02,75,CH02-075,CH02-075,【情報過食】見れば見るほど不安になる仕組み,script_completed,,workspaces/scripts/CH02/075/content/assembled.md,,7322,,,,,,,,机に座る人物がスクリーンの雨をスプーンで食べている。食べても満たされない表情。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,見れば見るほど不安になる仕組み,,,,,,,workspaces/scripts/CH02/075/content/assembled.md,,,,,,,情報過食,,,,,kata1
76,CH02,76,CH02-076,CH02-076,【先延ばしの快楽】締切直前にしか動けない脳,script_completed,,workspaces/scripts/CH02/076/content/assembled.md,,7829,,,,,,,,ジェットコースターのレールが締切直前で急降下し、そこでようやく動き出す人。後方では空回りの車両がゆっくり回る。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,締切直前にしか動けない脳,,,,,,,workspaces/scripts/CH02/076/content/assembled.md,,,,,,,先延ばしの快楽,,,,,kata3
77,CH02,77,CH02-077,CH02-077,【断れない束縛】頼られる快感の代償,script_completed,,workspaces/scripts/CH02/077/content/assembled.md,,7874,,,,,,,,肩にお願いの札が重く積まれ、鎖のように体に巻き付く。頼られる快感と束縛の二重性。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,頼られる快感の代償,,,,,,,workspaces/scripts/CH02/077/content/assembled.md,,,,,,,断れない束縛,,,,,kata3
78,CH02,78,CH02-078,CH02-078,【空転する毎日】動いても満たされない理由,script_completed,,workspaces/scripts/CH02/078/content/assembled.md,,7869,,,,,,,,ベルトコンベアのような一日が空転し、同じ場所を走る人物。背景に空洞のカレンダー。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,動いても満たされない理由,,,,,,,workspaces/scripts/CH02/078/content/assembled.md,,,,,,,空転する毎日,,,,,kata1
79,CH02,79,CH02-079,CH02-079,【計画倒れの心理】スケジュール魔なのに動けない理由,script_completed,,workspaces/scripts/CH02/079/content/assembled.md,,7940,,,,,,,,壁一面のスケジュール帳が檻になり、中で立ち尽くす人物。ペンが鉄格子の鍵のようにぶら下がる。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,スケジュール魔なのに動けない理由,,,,,,,workspaces/scripts/CH02/079/content/assembled.md,,,,,,,計画倒れの心理,,,,,kata3
80,CH02,80,CH02-080,CH02-080,【休む罪】罪悪感で休めないメカニズム,script_completed,,workspaces/scripts/CH02/080/content/assembled.md,,7818,,,,,,,,ベッドに横たわる人の上に罪悪感の重い石板が乗り、休息を許さない。窓の外は明るく晴れている。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,罪悪感で休めないメカニズム,,,,,,,workspaces/scripts/CH02/080/content/assembled.md,,,,,,,休む罪,,,,,kata2
81,CH02,81,CH02-081,CH02-081,【より良い幻想】今に足がつかない心理,script_completed,,workspaces/scripts/CH02/081/content/assembled.md,,7659,,,,,,,,未来の理想都市がシャボン玉になって浮かび、足元の現実は砂地で崩れかけている。人物は空を見上げ足元が不安定。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,今に足がつかない心理,,,,,,,workspaces/scripts/CH02/081/content/assembled.md,,,,,,,より良い幻想,,,,,kata2
82,CH02,82,CH02-082,CH02-082,【注意散乱】すぐスマホに手が伸びる脳,script_completed,,workspaces/scripts/CH02/082/content/assembled.md,,7610,,,,,,,,机の上のスマホが磁石のように紙片や注意力を引き寄せ、周囲の物が空中でバラバラに浮く。集中が吸い取られる様子。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,すぐスマホに手が伸びる脳,,,,,,,workspaces/scripts/CH02/082/content/assembled.md,,,,,,,注意散乱,,,,,kata2
83,CH02,83,CH02-083,CH02-083,【怒りの余熱】言い返せない夜を鎮めるストア派,topic_research: pending,3,workspaces/scripts/CH02/083/content/assembled.md,未着手,8086,2026-01-04T10:34:16.485066Z,,,,怒りをストア派の視点で整理し、翌日ひとつ試せる形で着地させる。参考: マルクス・アウレリウス『自省録』。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,【導入】怒りが出る夜の描写→【事例】深夜のベッドのありがちな場面→【視点】ストア派で見直す→【実践】3分でできる手順→【余韻】明日の自分へ一行。,夜の寝室。胸元に赤い熾火（怒りの余熱）が残り、冷たい青い霧と水滴がそれを静かに消していく。枕元に古代ローマの哲学者の胸像と閉じた本。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,怒りの余熱は毒,,,,,,,workspaces/scripts/CH02/083/content/assembled.md,,,,怒り,仕事疲れ,深夜のベッド,ストア派,怒りを鎮められる,火種を水で消す,怒りで眠れない夜に、ストア派の視点で心を整えます。,"・怒りが強くなる条件
・ストア派からの実践ステップ",kata1
84,CH02,84,CH02-084,CH02-084,【自己否定】褒め言葉が刺さる心とアドラー,topic_research: pending,3,workspaces/scripts/CH02/084/content/assembled.md,未着手,8117,2026-01-04T10:34:16.485066Z,,,,自己肯定感をアドラーの視点で整理し、翌日ひとつ試せる形で着地させる。参考: アドラー心理学（課題の分離）。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,【導入】自己肯定感が出る夜の描写→【事例】仕事終わりのありがちな場面→【視点】アドラーで見直す→【実践】3分でできる手順→【余韻】明日の自分へ一行。,鏡の前の人物。褒め言葉を象徴する紙片（文字なし）が針のように胸へ向かい、胸元で止まって痛みの輪郭だけを残す。鏡には細い亀裂、背後にやわらかな灯り。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,褒めは凶器,,,,,,,workspaces/scripts/CH02/084/content/assembled.md,,,,自己肯定感,完璧主義,仕事終わり,アドラー,自分を責める癖が弱まる,割れた器を直す,自己肯定感で眠れない夜に、アドラーの視点で心を整えます。,"・自己肯定感が強くなる条件
・アドラーからの実践ステップ",kata1
85,CH02,85,CH02-085,CH02-085,【不安の予告】最悪を想像する癖と認知行動,topic_research: pending,3,workspaces/scripts/CH02/085/content/assembled.md,未着手,9425,2026-01-04T10:34:16.485066Z,,,,不安を認知行動の視点で整理し、翌日ひとつ試せる形で着地させる。参考: 認知行動療法（CBT）。,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,【導入】不安が出る夜の描写→【事例】通勤のありがちな場面→【視点】認知行動で見直す→【実践】3分でできる手順→【余韻】明日の自分へ一行。,暗い部屋で、プロジェクターが壁に「最悪の予告編」のような曖昧な影像を映し出す。フィルムリールが絡まり、人物は停止ボタンを押す直前で深呼吸している。ドラマチックな光と陰影のシネマティック構図。油絵と水彩の質感。強いコントラストとビビッドな色彩。16:9。文字なし。,,,,,,,不安は予告編,,,,,,,workspaces/scripts/CH02/085/content/assembled.md,,,,不安,夜型,通勤,認知行動,不安の強度が下がる,荷物を棚に置く,不安で眠れない夜に、認知行動の視点で心を整えます。,"・不安が強くなる条件
・認知行動からの実践ステップ",kata3
